itemCode,cityCode
8R5ENT,Y8L2KM
J1NRK9,J7M3WB
AAR3AZ,L8Y2FN
X6L46D,G4H6VP
YYO265,M2Z8LP
I5FI7W,A7K3QX
XEZ9FN,K9F2MD
Q8U9E3,C6F1YP
9VLR10,X8P2KF
9759ZN,C4V8MK
17YCPS,K9F2MD
96EPK6,B4P9HZ
8JT15T,P8N1XR
IFLMFR,B4P9HZ
29SCSW,Q5M7TW
J23Q53,R4H9LF
MWGCXC,W9R3KC
QJMZTT,W3T9NP
CJON4D,J2Q5LB
98ITYU,N8C2QW
AMM6SF,N8C2QW
VT2ZFL,X3N7LD
SIN074,N1W8GH
H9SQ51,B6K4YH
5QKISV,F8Q1RL
SEGKXS,H6Y1CB
SOB3VN,B6K4YH
RLYI3U,L6F5QB
C9ZOGU,N8C2QW
BDXE5L,D4X6KC
EAAON1,M7X3KP
1HGR7Z,N6T3QF
EE198P,K7R2HP
RT0H8D,T1K5QW
EWV1PG,R1W7XD
1M949C,K2T8MH
VEOEKK,N8C2QW
77KYYW,J7M3WB
LRLM31,H1P6ZQ
V607U6,P8N1XR
PH68EG,N1W8GH
A94ZZ4,B4P9HZ
QJVP4F,M7X3KP
7ERPXR,L8Y2FN
QAVLN5,K7R2HP
8IR354,M8V4RB
V2GYC3,B4P9HZ
EFR544,V2H8SN
A4SQL6,L6F5QB
MZYG0Z,C6F1YP
5ETH2O,W3T9NP
UBIHY2,J2Q5LB
8PNZZU,G4H6VP
9ZWNKQ,R1W7XD
XJY0AY,T6R4PX
HTDZRK,C4V8MK
LUMY1O,R4H9LF
K0H1A0,L6F5QB
N5KWK8,X8P2KF
8NHMCO,H3K7YM
93DBK5,T2W6VN
0GUI6V,C6F1YP
8NHMCO,Q9D4JC
8YLCEE,T6R4PX
H7Z2AP,M8V4RB
AA70S7,N1W8GH
7IM4EK,V7K1RC
JT4IUD,P5L7QZ
8NVN65,V2H8SN
DA8YAL,R9T4VN
SCJGT7,W9R3KC
1R62LJ,Q5M7TW
WG6XVE,G4H6VP
A1AAAX,R4H9LF
F9GONM,L6F5QB
D482SK,R1W7XD
33M8Q5,C7J5TA
IN7MEE,X3N7LD
YKI3Q2,D9Y6TN
RIDVV4,T6R4PX
IP2YKD,W9R3KC
1LJZN0,H1P6ZQ
Z7FIMC,X3N7LD
69IJPV,H6Y1CB
XU12YP,X3N7LD
LLJOE4,G4H6VP
OW8GPX,N6T3QF
PDZ5B8,P8N1XR
F617VE,N1W8GH
R1HIQW,C6F1YP
IF6T2F,K2T8MH
OTTCIR,G4H6VP
BKQ4HJ,X8P2KF
5CWZKW,X1T9WD
G351YQ,D7Q4VX
UCKH86,G4H6VP
RFHTR7,P8N1XR
1N2KUR,D9Y6TN
DKS2WB,T6R4PX
EQZGG9,N8C2QW
0HRYQC,M7X3KP
XLJZ6D,P7C9TN
Z17V1J,D4X6KC
4SPHDP,R1W7XD
2VFDZX,M7X3KP
1DPMPM,L6F5QB
BPZ2CX,W3T9NP
BNZEUF,C7J5TA
RQOX84,Q4N7WD
X766B6,L6F5QB
VEOEKK,J2Q5LB
T1MTN4,K9F2MD
I5UWGT,T1K5QW
74U2G4,Q9D4JC
85FRJK,G4H6VP
1VDONT,D7Q4VX
2AUW8Q,D9Y6TN
F47JX8,V7K1RC
VFV0QF,X1T9WD
EZW42X,R1W7XD
D315ZL,Q4N7WD
JF95EL,Y8L2KM
XK86ZQ,M7X3KP
UQN6M6,D9Y6TN
WBGFJX,W3T9NP
X1ABW2,V7K1RC
9E6PI5,Y1V7DM
T8VCHB,D7Q4VX
J1NRK9,M2Z8LP
JKCMUU,H6Y1CB
HV4QGZ,R4H9LF
0WL6VR,P8N1XR
RFCA46,F8Q1RL
6PAW3W,P5L7QZ
VBOBGJ,F8Q1RL
JUVU5A,X3N7LD
10BYCF,C6F1YP
00X9JE,J2Q5LB
NFA78Q,Y8L2KM
E82WSJ,T1K5QW
HLXMIT,G5P8TX
4WMQ61,V2H8SN
QAVLN5,P5L7QZ
QGTT8H,R1W7XD
