name,code
Rezystor metalizowany 1 ohm 0.125 W 1%,BWST28
Rezystor SMD 10 ohm 0402 1% niski szum,2GF4VO
Potencjometr obrotowy 1 kOhm liniowy THT,7RSVK7
Kondensator ceramiczny 10 pF 16 V X7R,QQAPOK
Kondensator elektrolityczny 1 uF 6.3 V radialny,K7TGGY
Kondensator foliowy 1 nF 63 V MKT,E5SSIU
Dioda prostownicza 1N4001 DO-41 1 A,EUZ0YF
Dioda Schottky 1N5817 DO-41 0.5 A,92324Z
Dioda Zenera 3.3 V 0.25 W DO-35,E135ZR
Dioda LED czerwona 3 mm standard,NDJLGW
Tranzystor NPN BC547 TO-92 niskoszumny,0ZZF5M
Tranzystor PNP BC557 TO-92 niskoszumny,7Z9H35
Tranzystor MOSFET N-kanal IRLZ44N TO-220 logic level,BH7MI1
Tranzystor MOSFET P-kanal IRF9540 TO-220 logic level,YQGQ45
Stabilizator napiecia 78L05 TO-92 liniowy,QHJEF7
Cewka osiowa 1 uH 0.5 A,FGABCM
Rezonator kwarcowy 4 MHz HC-49 20 ppm,1BT807
Uklad logiczny 74HC00 DIP-14 standard,GWX4SS
Wzmacniacz operacyjny LM358 DIP-8 niskoszumny,8PZM53
Mikrokontroler ATmega8 DIP 8 MHz,MDEGDV
Czujnik temperatury LM35 TO-92,QYISKE
Czujnik wilgotnosci DHT11 modul,XHK36F
Czujnik ruchu PIR HC-SR501 zasieg 3 m,W1S41O
Przekaznik SRD cewka 5 V styk 1A,JKCMUU
Bezpiecznik topikowy 250 mA,SH114T
Zlacze goldpin prosty 2 pin,8BILVV
Przelacznik suwakowy 2 pozycje,WFB0NG
Wyswietlacz LCD 16x2 niebieskie podswietlenie,7JZ3P6
Buzzer aktywny 3 V,P4RAHO
Optoizolator PC817 DIP-4,S3QS4T
Enkoder obrotowy 20 impulsow z przyciskiem,MYJ728
Antena Wi-Fi 2.4 GHz 2 dBi,17CY2F
Modul Bluetooth HC-05 UART,H1H1K0
Przycisk monostabilny czerwony,AS638D
Radiator TO-220 niski profil,4BZ7T7
Wentylator 5 V 25 mm,Q49G1Y
Rezystor metalizowany 1 ohm 0.125 W 2%,S3CD0M
Rezystor SMD 10 ohm 0402 1% standard,YFJSZY
Potencjometr obrotowy 1 kOhm liniowy SMD,2P8H5F
Kondensator ceramiczny 10 pF 16 V C0G,PF81UT
Kondensator elektrolityczny 1 uF 6.3 V osiowy,GYEPJC
Kondensator foliowy 1 nF 63 V MKP,V1RAPK
Dioda prostownicza 1N4001 DO-41 2 A,9VTG9U
Dioda Schottky 1N5817 DO-41 1 A,CAK4E3
Dioda Zenera 3.3 V 0.25 W SOD-123,QSFMFY
Dioda LED czerwona 3 mm jasna,CVTAM0
Tranzystor NPN BC547 TO-92 uniwersalny,N53PKC
Tranzystor PNP BC557 TO-92 uniwersalny,RATO86
Tranzystor MOSFET N-kanal IRLZ44N TO-220 niski Rds(on),8S3911
Tranzystor MOSFET P-kanal IRF9540 TO-220 niski Rds(on),J19L96
Stabilizator napiecia 78L05 TO-92 niski spadek,PV5J72
Cewka osiowa 1 uH 1 A,WB1A0M
Rezonator kwarcowy 4 MHz HC-49 30 ppm,R6LTYW
Uklad logiczny 74HC00 DIP-14 przemyslowy,RIUQVF
Wzmacniacz operacyjny LM358 DIP-8 rail-to-rail,OAZ0XO
Mikrokontroler ATmega8 DIP 16 MHz,S0IHD1
Czujnik temperatury LM35 wodoodporny,TIUXJD
Czujnik wilgotnosci DHT11 SMD,Y89GN4
Czujnik ruchu PIR HC-SR501 zasieg 5 m,0W9LWN
Przekaznik SRD cewka 5 V styk 1C,BP7S17
Bezpiecznik topikowy 500 mA,6J0JWN
Zlacze goldpin prosty 3 pin,ZLDRD2
Przelacznik suwakowy 3 pozycje,FBXMXB
Wyswietlacz LCD 20x4 niebieskie podswietlenie,EGKLJ8
Buzzer aktywny 5 V,B30DS2
Optoizolator PC817 SMD,EQK5OT
Enkoder obrotowy 24 impulsy z przyciskiem,N3UV0F
Antena Wi-Fi 2.4 GHz 5 dBi,4013NW
Modul Bluetooth HC-06 UART,M1NVMP
Przycisk monostabilny zielony,M90UME
Radiator TO-220 czarny anodowany,FRDTP4
Wentylator 5 V 30 mm,98ITYU
Rezystor metalizowany 1 ohm 0.125 W 5%,XBMN34
Rezystor SMD 10 ohm 0402 1% wysoka stabilnosc,UWHMTM
Potencjometr obrotowy 1 kOhm logarytmiczny THT,UWMAPN
Kondensator ceramiczny 10 pF 16 V Y5V,POHA0U
Kondensator elektrolityczny 1 uF 6.3 V Low ESR,1XBPTH
Kondensator foliowy 1 nF 63 V PPS,XSYZP8
Dioda prostownicza 1N4001 SMA 1 A,BMPAKM
Dioda Schottky 1N5817 SOD-123 0.5 A,JDDL79
Dioda Zenera 3.3 V 0.25 W SMA,G589UE
Dioda LED czerwona 3 mm superjasna,4LQNNI
Tranzystor NPN BC547 TO-92 wysokie wzmocnienie,USR3UL
Tranzystor PNP BC557 TO-92 wysokie wzmocnienie,6OY6VE
Tranzystor MOSFET N-kanal IRLZ44N TO-252 logic level,5ITB61
Tranzystor MOSFET P-kanal IRF9540 SOT-23 logic level,UULFV4
Stabilizator napiecia 78L05 TO-92 uniwersalny,65Z9AM
Cewka osiowa 2.2 uH 0.5 A,J3JH4A
Rezonator kwarcowy 4 MHz HC-49 50 ppm,9E6PI5
Uklad logiczny 74HC00 SOIC-14 standard,RPO25M
Wzmacniacz operacyjny LM358 SOIC-8 niskoszumny,2AUW8Q
Mikrokontroler ATmega8 DIP 48 MHz,3D1FLO
Czujnik temperatury LM35 SMD 0603,0UN1L3
Czujnik wilgotnosci DHT11 przemyslowy,CFWR7R
Czujnik ruchu PIR HC-SR501 zasieg 7 m,QAVLN5
Przekaznik SRD cewka 9 V styk 1A,KVKDDT
Bezpiecznik topikowy 1 A,8WR5RS
Zlacze goldpin prosty 4 pin,PPPRHQ
Przelacznik suwakowy SPST,GDQXQ9
Wyswietlacz OLED 0.96 cala bialy,KG5UZ8
Buzzer aktywny 9 V,OAAMAU
Optoizolator LTV817 DIP-4,URE8GC
Enkoder obrotowy 30 impulsow bez przycisku,IL1SW7
Antena Wi-Fi 5 GHz 3 dBi,JBVSG1
Modul Wi-Fi ESP-01 2.4 GHz,GFFNYU
Przycisk monostabilny niebieski,223KEO
Radiator TO-247 czarny anodowany,A4AAFQ
Wentylator 12 V 40 mm,QCZSVJ
Rezystor metalizowany 1 ohm 0.125 W 10%,ASFNF1
